language,algorithm,matrix,matrix_size,time
cpp,strassen-hybrid,Hamrle1.mtx,32,0
cpp,strassen-hybrid,Hamrle1.mtx,32,0
cpp,strassen-hybrid,Hamrle1.mtx,32,0
cpp,strassen-hybrid,Hamrle1.mtx,32,0
cpp,strassen-hybrid,Hamrle1.mtx,32,0
cpp,strassen-hybrid,GD99_b.mtx,64,3
cpp,strassen-hybrid,GD99_b.mtx,64,3
cpp,strassen-hybrid,GD99_b.mtx,64,3
cpp,strassen-hybrid,GD99_b.mtx,64,3
cpp,strassen-hybrid,GD99_b.mtx,64,3
cpp,strassen-hybrid,can_256.mtx,256,173
cpp,strassen-hybrid,can_256.mtx,256,166
cpp,strassen-hybrid,can_256.mtx,256,164
cpp,strassen-hybrid,can_256.mtx,256,165
cpp,strassen-hybrid,can_256.mtx,256,166
cpp,strassen-hybrid,dwa512.mtx,512,1199
cpp,strassen-hybrid,dwa512.mtx,512,1584
cpp,strassen-hybrid,dwa512.mtx,512,1152
cpp,strassen-hybrid,dwa512.mtx,512,1173
cpp,strassen-hybrid,dwa512.mtx,512,1149
cpp,strassen-hybrid,delaunay_n10.mtx,1024,7877
cpp,strassen-hybrid,delaunay_n10.mtx,1024,7774
cpp,strassen-hybrid,delaunay_n10.mtx,1024,7803
cpp,strassen-hybrid,delaunay_n10.mtx,1024,7787
cpp,strassen-hybrid,delaunay_n10.mtx,1024,7790
